#separator:tab
#html:false
ID cell type:	Eosinophil
Diagnosing paroxysmal nocturnal hemoglobinuria:   Screening - [...]   Confirmatory test - [...]	Diagnosing paroxysmal nocturnal hemoglobinuria:   Screening - sugar water test (sugar water enhances complement attachment to RBCs, leading to RBC hemolysis)   Confirmatory test - Ham test (in vitro complement induced hemolysis in acidified serum)
[...] antibody hemolytic anemias are often drug-induced (penicillin, α-methyldopa, etc) whereas [...] antibody hemolytic anemias often occur during recovery from mycoplasma infection or infectious mononucleosis.	Warm antibody hemolytic anemias are often drug-induced (penicillin, α-methyldopa, etc) whereas cold antibody hemolytic anemias often occur during recovery from mycoplasma infection or infectious mononucleosis.
10% patients taking [...] have anti-Rh antibodies --> risk of developing warm antibody hemolytic anemia	10% patients taking α-methyldopa have anti-Rh antibodies --> risk of developing warm antibody hemolytic anemia
ID the pathology:	Cold Agglutinin Immunohemolytic Anemia
ID the pathology:	Shistocytes, Burr cells, & helmet cells --> trauma-mediated hemolytic anemia
Morphology of pernicious anemia (insidious onset):    Blood:  RBC precursors - [...] RBCs - [...]cytic, [...]chromic (aka macro-[...]) Neutrophils - [...] Overall number of blood cells - [...] Hyperbilirubinemia? [...]    GIT:  Tongue - atrophic glossitis due to loss of villi (shiny, smooth red tongue) Chief cells - atrophy Parietal cells - atrophy Goblet cells - metaplasia --> increased risk of gastric cancer   CNS - degeneration of myelin of the dorsal and lateral tracts of the spinal cord (both sensory and motor deficits such as spastic paraparesis, sensory ataxia and paresthesias)	Morphology of pernicious anemia (insidious onset):    Blood:  RBC precursors - megaloblasts (enlarged cytoplasm) RBCs - macrocytic, normochromic (aka macro-ovalocytes) Neutrophils - hypersegmented Overall number of blood cells - pancytopenia + thrombocytopenia Hyperbilirubinemia? mild    GIT:  Tongue - atrophic glossitis due to loss of villi (shiny, smooth red tongue) Chief cells - atrophy Parietal cells - atrophy Goblet cells - metaplasia --> increased risk of gastric cancer   CNS - degeneration of myelin of the dorsal and lateral tracts of the spinal cord (both sensory and motor deficits such as spastic paraparesis, sensory ataxia and paresthesias)
Morphology of pernicious anemia (insidious onset):    Blood:  RBC precursors - megaloblasts (enlarged cytoplasm) RBCs - macrocytic, normochromic (aka macro-ovalocytes) Neutrophils - hypersegmented Overall number of blood cells - pancytopenia + thrombocytopenia Hyperbilirubinemia? mild    GIT:  Tongue - [...] Chief cells - [...] Parietal cells - [...] Goblet cells - [...]   CNS - degeneration of myelin of the dorsal and lateral tracts of the spinal cord (both sensory and motor deficits such as spastic paraparesis, sensory ataxia and paresthesias)	Morphology of pernicious anemia (insidious onset):    Blood:  RBC precursors - megaloblasts (enlarged cytoplasm) RBCs - macrocytic, normochromic (aka macro-ovalocytes) Neutrophils - hypersegmented Overall number of blood cells - pancytopenia + thrombocytopenia Hyperbilirubinemia? mild    GIT:  Tongue - atrophic glossitis due to loss of villi (shiny, smooth red tongue) Chief cells - atrophy Parietal cells - atrophy Goblet cells - metaplasia --> increased risk of gastric cancer   CNS - degeneration of myelin of the dorsal and lateral tracts of the spinal cord (both sensory and motor deficits such as spastic paraparesis, sensory ataxia and paresthesias)
Morphology of pernicious anemia (insidious onset):    Blood:  RBC precursors - megaloblasts (enlarged cytoplasm) RBCs - macrocytic, normochromic (aka macro-ovalocytes) Neutrophils - hypersegmented Overall number of blood cells - pancytopenia + thrombocytopenia Hyperbilirubinemia? mild    GIT:  Tongue - atrophic glossitis due to loss of villi (shiny, smooth red tongue) Chief cells - atrophy Parietal cells - atrophy Goblet cells - metaplasia --> increased risk of gastric cancer   CNS - [...]	Morphology of pernicious anemia (insidious onset):    Blood:  RBC precursors - megaloblasts (enlarged cytoplasm) RBCs - macrocytic, normochromic (aka macro-ovalocytes) Neutrophils - hypersegmented Overall number of blood cells - pancytopenia + thrombocytopenia Hyperbilirubinemia? mild    GIT:  Tongue - atrophic glossitis due to loss of villi (shiny, smooth red tongue) Chief cells - atrophy Parietal cells - atrophy Goblet cells - metaplasia --> increased risk of gastric cancer   CNS - degeneration of myelin of the dorsal and lateral tracts of the spinal cord (both sensory and motor deficits such as spastic paraparesis, sensory ataxia and paresthesias)
Id the pathology:	Pernicious anemia
ID the pathology (immunofluoresced with antiparietal cell antibodies)	Pernicious anemia
Labs for iron deficiency anemia:      Hgb - [...] Hct - [...] RBC count - [...] MCV - [...] RDW - [...]     Transferrin - increased Transferrin receptors - increased Transferrin saturation - decreased  Total iron binding capacity - increased Serum ferritin - decreased Hepcidin - decreased     RBC morphology - microcytic, hypochromic, poikilocytosis Normoblasts - increased Marrow macrophages stained with prussian blue - no stain (iron stores depleted)	Labs for iron deficiency anemia:      Hgb - decreased Hct - decreased RBC count - increased (RBCs divide into smaller cells in an attempt to concentrate what little Hgb they have) MCV - decreased (see above reason) RDW - increased (mix of normocytic and microcytic cells)     Transferrin - increased Transferrin receptors - increased Transferrin saturation - decreased  Total iron binding capacity - increased Serum ferritin - decreased Hepcidin - decreased     RBC morphology - microcytic, hypochromic, poikilocytosis Normoblasts - increased Marrow macrophages stained with prussian blue - no stain (iron stores depleted)     Normal (left) iron deficiency (right)
Labs for iron deficiency anemia:      Hgb - decreased Hct - decreased RBC count - increased (RBCs divide into smaller cells in an attempt to concentrate what little Hgb they have) MCV - decreased (see above reason) RDW - increased (mix of normocytic and microcytic cells)     Transferrin - increased Transferrin receptors - increased Transferrin saturation - decreased  Total iron binding capacity - increased Serum ferritin - decreased Hepcidin - decreased     RBC morphology - [...]cytic, [...]chromic, poikilocytosis Normoblasts - [...]creased Marrow macrophages stained with prussian blue - [...]	Labs for iron deficiency anemia:      Hgb - decreased Hct - decreased RBC count - increased (RBCs divide into smaller cells in an attempt to concentrate what little Hgb they have) MCV - decreased (see above reason) RDW - increased (mix of normocytic and microcytic cells)     Transferrin - increased Transferrin receptors - increased Transferrin saturation - decreased  Total iron binding capacity - increased Serum ferritin - decreased Hepcidin - decreased     RBC morphology - microcytic, hypochromic, poikilocytosis Normoblasts - increased Marrow macrophages stained with prussian blue - no stain (iron stores depleted)     Normal (left) iron deficiency (right)
Labs for iron deficiency anemia:      Hgb - decreased Hct - decreased RBC count - increased (RBCs divide into smaller cells in an attempt to concentrate what little Hgb they have) MCV - decreased (see above reason) RDW - increased (mix of normocytic and microcytic cells)     Transferrin - [...] Transferrin receptors - [...] Transferrin saturation - [...]  Total iron binding capacity - [...] Serum ferritin - [...] Hepcidin - [...]     RBC morphology - microcytic, hypochromic, poikilocytosis Normoblasts - increased Marrow macrophages stained with prussian blue - no stain (iron stores depleted)	Labs for iron deficiency anemia:      Hgb - decreased Hct - decreased RBC count - increased (RBCs divide into smaller cells in an attempt to concentrate what little Hgb they have) MCV - decreased (see above reason) RDW - increased (mix of normocytic and microcytic cells)     Transferrin - increased Transferrin receptors - increased Transferrin saturation - decreased  Total iron binding capacity - increased Serum ferritin - decreased Hepcidin - decreased     RBC morphology - microcytic, hypochromic, poikilocytosis Normoblasts - increased Marrow macrophages stained with prussian blue - no stain (iron stores depleted)     Normal (left) iron deficiency (right)
ID the pathology:	1) Microcytic, hypochromic RBCs 2) Depleted iron stores in marrow macrophages
ID the pathology and list 5 causes	Ringed sideroblasts in bone marrow (iron accumulates in mitochondria around the nucleus of erythroblasts) --> pathognomonic for sideroblastic anemia.   Acquired Causes: Excessive alcohol use (the most common cause of sideroblastic anemia) Pyridoxine (B6) deficiency (assoc with isoniazid) Lead poisoning Copper deficiency Excess zinc - can indirectly cause sideroblastic anemia by decreasing absorption and increasing excretion of copper.  Isoniazid Chloramphenicol Cycloserine Linezolid
ID the pathology in this bone marrow biopsy:	Bone marrow biopsy essentially devoid of stem cells --> aplastic anemia
Two subtypes of thrombotic thrombocytopenic purpura:    TTP - [...]   I-TTP - [...]   Pathogenesis for both - deficiency of ADAMTS 13 --> large complexes of VWF form and cause platelet adhesion + aggregation throughout microvasculature --> thrombocytopenia   Labs:  Bleeding time - increased  PT - normal PTT - normal   Treatment - plasma exchange	Two subtypes of thrombotic thrombocytopenic purpura:    TTP - genetic deficiency of an enzyme ADAMTS 13, a metalloproteinase that cleaves large complexes of Von Willibrand Factor   I-TTP - acquired enzyme deficiency due to an antibody formed against the enzyme ADAMTS 13 (not to be confused with ITP where the antibody is formed against glycoproteins on platelets)   Pathogenesis for both - deficiency of ADAMTS 13 --> large complexes of VWF form and cause platelet adhesion + aggregation throughout microvasculature --> thrombocytopenia   Labs:  Bleeding time - increased  PT - normal PTT - normal   Treatment - plasma exchange
Two subtypes of thrombotic thrombocytopenic purpura:    TTP - genetic deficiency of an enzyme ADAMTS 13, a metalloproteinase that cleaves large complexes of Von Willibrand Factor   I-TTP - acquired enzyme deficiency due to an antibody formed against the enzyme ADAMTS 13 (not to be confused with ITP where the antibody is formed against glycoproteins on platelets)   Pathogenesis for both - [...]   Labs:  Bleeding time - increased  PT - normal PTT - normal   Treatment - plasma exchange	Two subtypes of thrombotic thrombocytopenic purpura:    TTP - genetic deficiency of an enzyme ADAMTS 13, a metalloproteinase that cleaves large complexes of Von Willibrand Factor   I-TTP - acquired enzyme deficiency due to an antibody formed against the enzyme ADAMTS 13 (not to be confused with ITP where the antibody is formed against glycoproteins on platelets)   Pathogenesis for both - deficiency of ADAMTS 13 --> large complexes of VWF form and cause platelet adhesion + aggregation throughout microvasculature --> thrombocytopenia   Labs:  Bleeding time - increased  PT - normal PTT - normal   Treatment - plasma exchange
